TPI,ART Link Max,ART Link Mid,Base Infectivity,Infmrl Condoms Late,Infmrl Form Rate,Infrml Condom Mid,Infrml Condom Rate,Mrtl Condom Max,Mrtl Condom Mid,Mrtl Condom Rate,Mrtl Form Rate,PreART Link Max,PreART Link Mid,PreART Link Min,SeedYr HIGH,Sexual Debut Age Female Weibull Heterogeneity,Sexual Debut Age Female Weibull Scale,Sexual Debut Age Male Weibull Heterogeneity,Sexual Debut Age Male Weibull Scale,Swaziland: Infmrl Condoms Late,Swaziland: LOW Risk,Swaziland: Trns Condoms Late,Trns Condom Late,Trns Condom Mid,Trns Condom Rate,Trns Form Rate,Male_To_Female_Relative_Infectivity_Multipliers,Nodes.0.Society.INFORMAL.Pair_Formation_Parameters.Formation_Rate_Constant,Nodes.0.Society.INFORMAL.Relationship_Parameters.Condom_Usage_Probability.Max,Nodes.0.Society.INFORMAL.Relationship_Parameters.Condom_Usage_Probability.Mid,Nodes.0.Society.INFORMAL.Relationship_Parameters.Condom_Usage_Probability.Rate,Nodes.0.Society.MARITAL.Pair_Formation_Parameters.Formation_Rate_Constant,Nodes.0.Society.MARITAL.Relationship_Parameters.Condom_Usage_Probability.Max,Nodes.0.Society.MARITAL.Relationship_Parameters.Condom_Usage_Probability.Mid,Nodes.0.Society.MARITAL.Relationship_Parameters.Condom_Usage_Probability.Rate,Nodes.0.Society.TRANSITORY.Pair_Formation_Parameters.Formation_Rate_Constant,Nodes.0.Society.TRANSITORY.Relationship_Parameters.Condom_Usage_Probability.Max,Nodes.0.Society.TRANSITORY.Relationship_Parameters.Condom_Usage_Probability.Mid,Nodes.0.Society.TRANSITORY.Relationship_Parameters.Condom_Usage_Probability.Rate,[BUILDER] Actual_IndividualIntervention_Config__KP_ART_Link.Ramp_Max,[BUILDER] Actual_IndividualIntervention_Config__KP_ART_Link.Ramp_MidYear,[BUILDER] Actual_IndividualIntervention_Config__KP_PreART_Link.Ramp_Max,[BUILDER] Actual_IndividualIntervention_Config__KP_PreART_Link.Ramp_MidYear,[BUILDER] Actual_IndividualIntervention_Config__KP_PreART_Link.Ramp_Min,[BUILDER] Society__KP_Defaults.INFORMAL.Pair_Formation_Parameters.Formation_Rate_Constant,[BUILDER] Society__KP_Defaults.INFORMAL.Relationship_Parameters.Condom_Usage_Probability.Max,[BUILDER] Society__KP_Defaults.INFORMAL.Relationship_Parameters.Condom_Usage_Probability.Mid,[BUILDER] Society__KP_Defaults.INFORMAL.Relationship_Parameters.Condom_Usage_Probability.Rate,[BUILDER] Society__KP_Defaults.MARITAL.Pair_Formation_Parameters.Formation_Rate_Constant,[BUILDER] Society__KP_Defaults.MARITAL.Relationship_Parameters.Condom_Usage_Probability.Max,[BUILDER] Society__KP_Defaults.MARITAL.Relationship_Parameters.Condom_Usage_Probability.Mid,[BUILDER] Society__KP_Defaults.MARITAL.Relationship_Parameters.Condom_Usage_Probability.Rate,[BUILDER] Society__KP_Defaults.TRANSITORY.Pair_Formation_Parameters.Formation_Rate_Constant,[BUILDER] Society__KP_Defaults.TRANSITORY.Relationship_Parameters.Condom_Usage_Probability.Max,[BUILDER] Society__KP_Defaults.TRANSITORY.Relationship_Parameters.Condom_Usage_Probability.Mid,[BUILDER] Society__KP_Defaults.TRANSITORY.Relationship_Parameters.Condom_Usage_Probability.Rate,[BUILDER] Society__KP_Swaziland.INFORMAL.Relationship_Parameters.Condom_Usage_Probability.Max,[BUILDER] Society__KP_Swaziland.TRANSITORY.Relationship_Parameters.Condom_Usage_Probability.Max
11,0.956585214,2011,0.002337145,0.412680747,0.001546173,1992.859509,2.964726354,0.160503148,2002.282816,2.851272083,0.000550389,0.766267618,1995.25387,0,1983.545426,0.295839812,16.44544579,0.051951902,17.40608722,0.311162447,0.711783299,0.156285352,0.637714217,1997.029349,2.948823065,0.000145223,"[4.888521842661514, 4.888521842661514, 2.3768003263948643]",0.001546173,0.311162447,1992.859509,2.964726354,0.000550389,0.160503148,2002.282816,2.851272083,0.000145223,0.156285352,1997.029349,2.948823065,0.956585214,2011,0.766267618,1995.25387,0,0.001546173,0.412680747,1992.859509,2.964726354,0.000550389,0.160503148,2002.282816,2.851272083,0.000145223,0.637714217,1997.029349,2.948823065,0.311162447,0.156285352
12,0.948603993,2010.927433,0.00235,0.419971298,0.001421653,1992.407905,3.046225555,0.188516347,2001.98935,2.842969818,0.00045586,0.722262567,1995.299034,0.030309205,1981.983605,0.316659688,16.20785382,0.057169652,17.29823401,0.356778486,0.7449072,0.105952258,0.636647103,1996.455243,2.654943613,0.000136986,"[4.785366751954113, 4.785366751954113, 2.867059700976111]",0.001421653,0.356778486,1992.407905,3.046225555,0.00045586,0.188516347,2001.98935,2.842969818,0.000136986,0.105952258,1996.455243,2.654943613,0.948603993,2010.927433,0.722262567,1995.299034,0.030309205,0.001421653,0.419971298,1992.407905,3.046225555,0.00045586,0.188516347,2001.98935,2.842969818,0.000136986,0.636647103,1996.455243,2.654943613,0.356778486,0.105952258
13,0.9540262,2010.449283,0.002288203,0.418070395,0.001238391,1992.307036,2.806520494,0.218086374,2002.109325,2.393612257,0.000549459,0.83415912,1996.487399,0,1982.689399,0.335698094,16.11008609,0.04,17.4852641,0.359656856,0.70083117,0.074761823,0.67629269,1996.505255,2.98851222,0.000136986,"[4.8545575633532785, 4.8545575633532785, 2.698443638996012]",0.001238391,0.359656856,1992.307036,2.806520494,0.000549459,0.218086374,2002.109325,2.393612257,0.000136986,0.074761823,1996.505255,2.98851222,0.9540262,2010.449283,0.83415912,1996.487399,0,0.001238391,0.418070395,1992.307036,2.806520494,0.000549459,0.218086374,2002.109325,2.393612257,0.000136986,0.67629269,1996.505255,2.98851222,0.359656856,0.074761823
14,0.951810738,2010.299968,0.002328078,0.440838367,0.001209543,1992.483446,2.948345653,0.241961476,2001.290424,2.49867643,0.000319317,0.774198046,1994.221584,0.009111168,1982.186886,0.33046267,16.28071662,0.04267363,17.24277067,0.35588513,0.729318337,0.102263448,0.674090859,1997.671144,2.980711995,0.000136986,"[4.771947449705187, 4.771947449705187, 2.8685325277522544]",0.001209543,0.35588513,1992.483446,2.948345653,0.000319317,0.241961476,2001.290424,2.49867643,0.000136986,0.102263448,1997.671144,2.980711995,0.951810738,2010.299968,0.774198046,1994.221584,0.009111168,0.001209543,0.440838367,1992.483446,2.948345653,0.000319317,0.241961476,2001.290424,2.49867643,0.000136986,0.674090859,1997.671144,2.980711995,0.35588513,0.102263448
15,0.953233853,2010.656245,0.002320199,0.420614896,0.00155115,1992.25289,3.02040366,0.219856593,2002.029117,2.495640547,0.000459458,0.809265289,1996.195761,0.026249896,1982.634364,0.314198754,16.21901551,0.040503,17.70297803,0.331027601,0.741127176,0.108140679,0.703528048,1996.830185,3.006792068,0.000136986,"[4.966776582530202, 4.966776582530202, 2.801664421961391]",0.00155115,0.331027601,1992.25289,3.02040366,0.000459458,0.219856593,2002.029117,2.495640547,0.000136986,0.108140679,1996.830185,3.006792068,0.953233853,2010.656245,0.809265289,1996.195761,0.026249896,0.00155115,0.420614896,1992.25289,3.02040366,0.000459458,0.219856593,2002.029117,2.495640547,0.000136986,0.703528048,1996.830185,3.006792068,0.331027601,0.108140679
16,0.957658128,2011,0.00230111,0.425075463,0.001379238,1992.546329,3.083565816,0.233064741,2001.343094,2.522615518,0.000492999,0.803719531,1996.634665,0,1982.729798,0.328936415,16.22600019,0.04,17.69883504,0.329522938,0.717384175,0.117364931,0.686764153,1997.187275,2.484716125,0.000136986,"[4.887432253817971, 4.887432253817971, 2.831331435105719]",0.001379238,0.329522938,1992.546329,3.083565816,0.000492999,0.233064741,2001.343094,2.522615518,0.000136986,0.117364931,1997.187275,2.484716125,0.957658128,2011,0.803719531,1996.634665,0,0.001379238,0.425075463,1992.546329,3.083565816,0.000492999,0.233064741,2001.343094,2.522615518,0.000136986,0.686764153,1997.187275,2.484716125,0.329522938,0.117364931
17,0.96258131,2009.935356,0.002339668,0.409572339,0.00151123,1993.011794,3.145360796,0.22763433,2001.599093,2.186485606,0.000519217,0.858597734,1996.826489,0.101755655,1983.166099,0.265190324,16.27688037,0.04,17.41970711,0.343945428,0.749079166,0.123865619,0.676672536,1999.178603,2.907476513,0.000137432,"[4.254808383352035, 4.254808383352035, 2.9095567331700285]",0.00151123,0.343945428,1993.011794,3.145360796,0.000519217,0.22763433,2001.599093,2.186485606,0.000137432,0.123865619,1999.178603,2.907476513,0.96258131,2009.935356,0.858597734,1996.826489,0.101755655,0.00151123,0.409572339,1993.011794,3.145360796,0.000519217,0.22763433,2001.599093,2.186485606,0.000137432,0.676672536,1999.178603,2.907476513,0.343945428,0.123865619
18,0.961062952,2010.873657,0.002321508,0.41604649,0.001284286,1992.019441,3.058561546,0.213927337,2000.726615,2.152713196,0.000400037,0.782821224,1995.417947,0,1981.218129,0.297937872,16.12511011,0.04,18.36834651,0.367079284,0.715218762,0.063251784,0.586390941,1996.801129,3.499982054,0.000136986,"[4.946276065322108, 4.946276065322108, 3.2005125285780216]",0.001284286,0.367079284,1992.019441,3.058561546,0.000400037,0.213927337,2000.726615,2.152713196,0.000136986,0.063251784,1996.801129,3.499982054,0.961062952,2010.873657,0.782821224,1995.417947,0,0.001284286,0.41604649,1992.019441,3.058561546,0.000400037,0.213927337,2000.726615,2.152713196,0.000136986,0.586390941,1996.801129,3.499982054,0.367079284,0.063251784
19,0.947458683,2010.953443,0.002244203,0.401393166,0.001538892,1992.940798,2.896974047,0.247909489,2002.025945,2.259881728,0.00057871,0.826161717,1995.958031,0,1982.474265,0.291410858,16.46189925,0.045474282,17.7830998,0.415106171,0.717761573,0.057358782,0.610590375,1996.517763,2.69932791,0.000176906,"[5.450871080912856, 5.450871080912856, 2.7170776570657207]",0.001538892,0.415106171,1992.940798,2.896974047,0.00057871,0.247909489,2002.025945,2.259881728,0.000176906,0.057358782,1996.517763,2.69932791,0.947458683,2010.953443,0.826161717,1995.958031,0,0.001538892,0.401393166,1992.940798,2.896974047,0.00057871,0.247909489,2002.025945,2.259881728,0.000176906,0.610590375,1996.517763,2.69932791,0.415106171,0.057358782
20,0.954751572,2010.585705,0.00232649,0.413431529,0.001539892,1992.710056,3.039183477,0.217680986,2001.782541,2.365910674,0.000449329,0.79396056,1995.681224,0.001970479,1982.538346,0.306603282,16.26139998,0.040194451,17.49739042,0.339781139,0.724196109,0.098311412,0.698536167,1996.661219,3.085584037,0.000136986,"[4.909151820797264, 4.909151820797264, 2.828569182743585]",0.001539892,0.339781139,1992.710056,3.039183477,0.000449329,0.217680986,2001.782541,2.365910674,0.000136986,0.098311412,1996.661219,3.085584037,0.954751572,2010.585705,0.79396056,1995.681224,0.001970479,0.001539892,0.413431529,1992.710056,3.039183477,0.000449329,0.217680986,2001.782541,2.365910674,0.000136986,0.698536167,1996.661219,3.085584037,0.339781139,0.098311412
21,0.949209314,2010.844666,0.002329245,0.424394819,0.001684634,1993.006816,3.041355874,0.207507277,2001.175295,2.35993353,0.00042318,0.782114249,1994.963788,0,1982.613291,0.317351513,16.32788467,0.045274718,17.84244027,0.367188495,0.703989748,0.072109214,0.730840918,1996.690807,2.940146073,0.000136986,"[5.026198013068495, 5.026198013068495, 2.8092309219558507]",0.001684634,0.367188495,1993.006816,3.041355874,0.00042318,0.207507277,2001.175295,2.35993353,0.000136986,0.072109214,1996.690807,2.940146073,0.949209314,2010.844666,0.782114249,1994.963788,0,0.001684634,0.424394819,1993.006816,3.041355874,0.00042318,0.207507277,2001.175295,2.35993353,0.000136986,0.730840918,1996.690807,2.940146073,0.367188495,0.072109214
22,0.944575914,2010.542947,0.002293385,0.404375454,0.00156154,1993.036372,2.968655271,0.223869392,2001.87735,2.598324183,0.000507904,0.81111491,1996.456717,0,1981.759847,0.323104505,16.24802365,0.04,16.77632994,0.339616507,0.758711128,0.105637581,0.70559411,1995.868242,2.42105059,0.000136986,"[4.802151687417782, 4.802151687417782, 2.480157425281469]",0.00156154,0.339616507,1993.036372,2.968655271,0.000507904,0.223869392,2001.87735,2.598324183,0.000136986,0.105637581,1995.868242,2.42105059,0.944575914,2010.542947,0.81111491,1996.456717,0,0.00156154,0.404375454,1993.036372,2.968655271,0.000507904,0.223869392,2001.87735,2.598324183,0.000136986,0.70559411,1995.868242,2.42105059,0.339616507,0.105637581
23,0.947368434,2011,0.002336862,0.428603718,0.001291263,1991.749562,3.010098904,0.242828351,2000.85935,2.498044665,0.000459803,0.769874294,1995.180989,0.018325041,1982.962628,0.314060559,16.35967202,0.050543779,16.84580946,0.319540597,0.744131995,0.139063952,0.704530999,1996.909246,3.019657412,0.000136986,"[4.744424325397028, 4.744424325397028, 2.7320447773340626]",0.001291263,0.319540597,1991.749562,3.010098904,0.000459803,0.242828351,2000.85935,2.498044665,0.000136986,0.139063952,1996.909246,3.019657412,0.947368434,2011,0.769874294,1995.180989,0.018325041,0.001291263,0.428603718,1991.749562,3.010098904,0.000459803,0.242828351,2000.85935,2.498044665,0.000136986,0.704530999,1996.909246,3.019657412,0.319540597,0.139063952
24,0.947893841,2011,0.002312667,0.380038388,0.001543995,1992.713029,2.988892478,0.232233582,2001.64571,2.279422249,0.000467362,0.83559168,1994.754157,0.078764159,1983.239387,0.276174046,16.4549539,0.04,17.45632168,0.323355278,0.70236552,0.076706806,0.736488985,1996.195242,2.67861029,0.000136986,"[5.501258477025404, 5.501258477025404, 2.664588206307316]",0.001543995,0.323355278,1992.713029,2.988892478,0.000467362,0.232233582,2001.64571,2.279422249,0.000136986,0.076706806,1996.195242,2.67861029,0.947893841,2011,0.83559168,1994.754157,0.078764159,0.001543995,0.380038388,1992.713029,2.988892478,0.000467362,0.232233582,2001.64571,2.279422249,0.000136986,0.736488985,1996.195242,2.67861029,0.323355278,0.076706806
25,0.949261534,2010.668948,0.002348728,0.391145322,0.00118167,1993.236664,3.037473274,0.220148137,2002.615289,2.82277111,0.000489036,0.843213245,1996.194197,0.036466226,1982.714661,0.296679304,16.27313958,0.04,17.56630741,0.334548714,0.69886938,0.043248107,0.650248273,1997.274915,2.866350829,0.000197923,"[4.371564370126526, 4.371564370126526, 2.5432677643245705]",0.00118167,0.334548714,1993.236664,3.037473274,0.000489036,0.220148137,2002.615289,2.82277111,0.000197923,0.043248107,1997.274915,2.866350829,0.949261534,2010.668948,0.843213245,1996.194197,0.036466226,0.00118167,0.391145322,1993.236664,3.037473274,0.000489036,0.220148137,2002.615289,2.82277111,0.000197923,0.650248273,1997.274915,2.866350829,0.334548714,0.043248107
26,0.960861994,2009.876866,0.002311642,0.416743325,0.001390789,1992.698473,2.835439867,0.233248343,2001.858383,2.075186394,0.000423772,0.778893944,1996.32472,0.096992699,1982.499226,0.350196324,16.24047496,0.054214174,17.1926046,0.386066565,0.709054995,0.099372139,0.74014272,1997.338148,2.958794519,0.000173322,"[4.904595903172478, 4.904595903172478, 2.935284911979141]",0.001390789,0.386066565,1992.698473,2.835439867,0.000423772,0.233248343,2001.858383,2.075186394,0.000173322,0.099372139,1997.338148,2.958794519,0.960861994,2009.876866,0.778893944,1996.32472,0.096992699,0.001390789,0.416743325,1992.698473,2.835439867,0.000423772,0.233248343,2001.858383,2.075186394,0.000173322,0.74014272,1997.338148,2.958794519,0.386066565,0.099372139
27,0.960564731,2010.52917,0.002334666,0.432547884,0.001497709,1992.97162,2.94704673,0.261180579,2002.404094,2.371670226,0.000428709,0.760564541,1995.944994,0,1982.674866,0.286506978,16.19028607,0.04,17.60324753,0.32354034,0.729322578,0.133692215,0.758212509,1995.993602,2.504076108,0.000136986,"[4.902418647771984, 4.902418647771984, 2.9939555040154615]",0.001497709,0.32354034,1992.97162,2.94704673,0.000428709,0.261180579,2002.404094,2.371670226,0.000136986,0.133692215,1995.993602,2.504076108,0.960564731,2010.52917,0.760564541,1995.944994,0,0.001497709,0.432547884,1992.97162,2.94704673,0.000428709,0.261180579,2002.404094,2.371670226,0.000136986,0.758212509,1995.993602,2.504076108,0.32354034,0.133692215
28,0.953447494,2010.392601,0.002317437,0.442662275,0.00143389,1991.727509,2.956543504,0.211355321,2001.717329,3.174038297,0.00043564,0.742103668,1994.670683,0,1982.398408,0.367278737,16.45419884,0.067292758,17.99992411,0.356417035,0.754832917,0.078217257,0.762834825,1996.07883,2.823008319,0.000136986,"[5.076218106059889, 5.076218106059889, 2.5874601060804845]",0.00143389,0.356417035,1991.727509,2.956543504,0.00043564,0.211355321,2001.717329,3.174038297,0.000136986,0.078217257,1996.07883,2.823008319,0.953447494,2010.392601,0.742103668,1994.670683,0,0.00143389,0.442662275,1991.727509,2.956543504,0.00043564,0.211355321,2001.717329,3.174038297,0.000136986,0.762834825,1996.07883,2.823008319,0.356417035,0.078217257
